"campaign_id"	"title"	"sent"	"to_send"	"recipients"	"lists_excl"	"opens_count"	"unique_opens"	"text"
5	"Você precisa saber isso sobre a valorização do Cartola FC"	2018-04-02	11080	11080	""	2306	1559	"   Faaala [Name,fallback=],     Guru do Cartola na área!! Ansiedade a mil!  Faltam 12 dias para a primeira rodada do Cartola FC.  Depois de ver algumas coisas que estão circulando no whatsapp e redes sociais, resolvi gravar um vídeo revelando os MITOS e as VERDADES sobre a 1ª rodada do Cartola FC.  Logo logo você vai receber também um vídeo sobre a 2ª rodada.   Nele, vou te revelar um segredo que NUNCA vi ninguém contando na internet.   Não vou deixar você cometer um erro que 99% dos cartoleiros comete!  Depois que assistir, deixe lá o seu comentário!! Quero saber se você tem alguma dúvida e o que achou do vídeo!   https://youtu.be/4Acvmt-2efA  Valeu guruzaada! Até o próximo!!     Tamo junto!!                            .    .   Caso não queira receber nossos e-mails, clique em  sair .   "
6	"Você precisa saber isso sobre a valorização do Cartola FC"	2018-04-02	6040	6040	""	771	535	"   Faaala guruzada!,     Guru do Cartola na área!! Ansiedade a mil!  Faltam 12 dias para a primeira rodada do Cartola FC.  Depois de ver algumas coisas que estão circulando no whatsapp e redes sociais, resolvi gravar um vídeo revelando os MITOS e as VERDADES sobre a 1&ordf; rodada do Cartola FC.  Logo logo você vai receber também um vídeo sobre a 2&ordf; rodada.   Nele, vou te revelar um segredo que NUNCA vi ninguém contando na internet.   Não vou deixar você cometer um erro que 99% dos cartoleiros comete!  Depois que assistir, deixe lá o seu comentário!! Quero saber se você tem alguma dúvida e o que achou do vídeo!   https://youtu.be/4Acvmt-2efA  Valeu guruzaada! Até o próximo!!     Tamo junto!!                            .    .   Caso não queira receber nossos e-mails, clique em  sair .   "
9	"Vazou... Spoiler do GURU 2018"	2018-04-02	10730	10730	""	1476	991	"   E aí [Name,fallback=],     Hoje mais cedo te enviei um e-mail contando como descobri o algoritmo de valorização do Cartola!      Também contei o nosso plano para faturar 40 cartoletas na primeira rodada :)     Caso você não tenha visto o vídeo, ele ainda está disponível no link:  https://youtu.be/4Acvmt-2efA     Logo logo, vou enviar o segundo vídeo! Nele eu vou contar alguns SEGREDOS DO ALGORITMO DE VALORIZAÇÃO, então se liga!!      Depois do e-mail de hoje, recebi uma chuva de e-mails perguntando sobre o site e as novidades....      Então o que eu quero te mostrar agora é outra coisa....     Neste final de semana divulgamos nas redes sociais do Guru um vídeo que entrega boa parte do site...      Quer saber o que vem por aí???      Mas só uma parte... porque claro que também preparei uma surpresa!     https://youtu.be/358t_Pg1G3U  Valeuuu [Name,fallback=]!!!!     Grande abraço!                            .    .   Caso não queira receber nossos e-mails, clique em  sair .   "
10	"Vazou... Spoiler do GURU 2018"	2018-04-02	5629	5629	""	1043	742	"   E aiii Guruzadaaa,     Hoje mais cedo te enviei um e-mail contando como descobri o algoritmo de valorização do Cartola!      Também contei o nosso plano para faturar 40 cartoletas na primeira rodada :)     Caso você não tenha visto o vídeo, ele ainda está disponível no link:  https://youtu.be/4Acvmt-2efA     Logo logo, vou enviar o segundo vídeo! Nele eu vou contar alguns SEGREDOS DO ALGORITMO DE VALORIZAÇÃO, então se liga!!      Depois do e-mail de hoje, recebi uma chuva de e-mails perguntando sobre o site e as novidades....      Então o que eu quero te mostrar agora é outra coisa....     Neste final de semana divulgamos nas redes sociais do Guru um vídeo que entrega boa parte do site...      Quer saber o que vem por aí???      Mas só uma parte... porque claro que também preparei uma surpresa!     https://youtu.be/358t_Pg1G3U     Se puder compartilhar vai dar uma força GIGANTE para o nosso projeto ;)     Valeuuu!!!!     Grande abraço!                            .    .   Caso não queira receber nossos e-mails, clique em  sair .   "
13	"o ERRO que te custa MUITAS cartoletas - 2ª rodada"	2018-04-03	10914	10914	""	2322	1412	"   E aíii [Name,fallback=]!!  A sua ansiedade pelo início do Cartola só aumenta??  Já estamos aquecendo os motores aqui no Guru do Cartola!  Quero aproveitar e te chamar em primeira mão para participar da nossa liga!  É só entrar lá no Cartola -> ligas -> mercado de ligas e procurar por gurudocartola.com  Nossa liga é GRATUITA e vai ter uma premiação bem legal!! Com direito a umas surpresinhas aí...  e claro, como você já sabe, quem entra antes já leva vantagem!!!   Depois que cadastrar lá, me responde o e-mail aqui confirmando a sua inscrição!    GURU, E OS SEGREDOS DO ALGORITMO DE VALORIZAÇÃO QUE VOCÊ FALOU QUE IRIA REVELAR NO VÍDEO 2??   ixii... é verdade hein!!  No próximo vídeo eu conto como ganhar muitas cartoletas na 2&ordf; rodada.  Além disso, eu vou te ensinar também como NÃO COMETER UM ERRO QUE 99% DOS CARTOLEIROS COMETEM!!!  Isso vai te salvar MUITAS CARTOLETAS!  Beleza então, [Name,fallback=]?   VÍDEO 2: https://youtu.be/gL6yJo5s8ZE   Depois me conta lá nos comentários o que achou do vídeo e quais são suas dúvidas!!  Se gostar do vídeo, compartilhe e vamos fortalecer a nossa comunidade!!  Caso você ainda não tenha visto o  vídeo 1  esse é o link:  https://youtu.be/4Acvmt-2efA  Grande abraço!                            .    .   Caso não queira receber nossos e-mails, clique em  sair .   "
14	"o ERRO que te custa MUITAS cartoletas - 2ª rodada"	2018-04-03	5620	5620	""	1460	975	"   E aiii Guruzada!!  Não sei a sua, mas a minha ansiedade pelo início do Cartola só aumenta! Como tá aí?  Já estamos aquecendo os motores aqui no Guru do Cartola!  Quero aproveitar e te chamar em primeira mão para participar da nossa liga!  É só entrar lá no Cartola -> ligas -> mercado de ligas e procurar por gurudocartola.com  Nossa liga é GRATUITA e vai ter uma premiação bem legal!! Com direito a umas surpresinhas aí...  e claro, como você já sabe, quem entra antes já leva vantagem!!!   Depois que cadastrar lá, me responde o e-mail aqui confirmando a sua inscrição!    GURU, E OS SEGREDOS DO ALGORITMO DE VALORIZAÇÃO QUE VOCÊ FALOU QUE IRIA REVELAR NO VÍDEO 2??   ixii... é verdade hein!!  No próximo vídeo eu conto como ganhar muitas cartoletas na 2&ordf; rodada.  Além disso, eu vou te ensinar também como NÃO COMETER UM ERRO QUE 99% DOS CARTOLEIROS COMETEM!!!  Isso vai te salvar MUITAS CARTOLETAS!  Beleza então?   VÍDEO 2: https://youtu.be/gL6yJo5s8ZE   Depois me conta lá nos comentários o que achou do vídeo e quais são suas dúvidas!!  Se gostar do vídeo, compartilhe e vamos fortalecer a nossa comunidade!!  Caso você ainda não tenha visto o  vídeo 1  esse é o link:  https://youtu.be/4Acvmt-2efA  Grande abraço!                            .    .   Caso não queira receber nossos e-mails, clique em  sair .   "
15	"Não vou te deixar para trás!! Você precisa saber disso!"	2018-04-04	485	485	""	363	234	"   Fala [Name,fallback=]! Vi que você se cadastrou no Gurudocartola.com essa semana!  E aí, tudo bem com você?  É o seguinte, vou te atualizar das novidades:  O Guru do Cartola é conhecido por ser o único a saber o algoritmo de valorização do Cartola.  E nas primeiras rodadas é EXTREMAMENTE importante ganhar cartoletas, é a melhor (e praticamente única) hora do campeonato que temos para isso.  Então dezenas de seguidores pediram para que eu gravasse as melhores dicas para essas rodadas em vídeo.  E eu fiz praticamente isso....  Só que além de falar as melhores dicas, também contei alguns  segredos do algortimo de valorização !   Também contei erros que 99% dos cartoleiros cometem nas primeiras rodadas!   E aí, [Name,fallback=]! ??  Tá a fim de evitar erros comuns e ganhar até 40 cartoletas na 1&ordf; rodada?   Depois me conta lá nos comentários o que achou do vídeo e quais são suas dúvidas! :)  Se gostar do vídeo, compartilhe e vamos fortalecer a nossa comunidade!  Então corre lá e assista aos vídeos:    VÍDEO 1:  https://youtu.be/4Acvmt-2efA     VÍDEO 2:  https://youtu.be/gL6yJo5s8ZE       Grande abraço!                               .    .   Caso não queira receber nossos e-mails, clique em  sair .   "
17	"Não vou te deixar para trás!! Você precisa saber disso!"	2018-04-04	468	468	""	403	213	"   Desculpa aí [Name,fallback=]!  Parece que o link dos vídeos foram com um probleminha.  Agora você vai conseguir...   VÍDEO 1: https://youtu.be/4Acvmt-2efA    VÍDEO 2: https://youtu.be/gL6yJo5s8ZE      Grande abraço!                               .    .   Caso não queira receber nossos e-mails, clique em  sair .   "
21	"ENVIAR APENAS PARA LISTA VIP GURU 2018"	2018-04-05	11252	11252	""	2117	1500	"   Graande  [Name,fallback=] !  Faltam exatos 10 dias para começar o Cartola.     E a preparação tá como?      Por aqui, na Gurulândia, a preparação tá firme e acelerada pra entrarmos em campo!     Marcamos até  data  para a INAUGURAÇÃO DO NOSSO SITE!!     Vou te falar o que tem no próximo vídeo e você vai entender porque  precisa assistir de qualquer jeito :     -> vou te falar como funciona a valorização na 3a rodada, com certeza é a mais complicada de todas!     -> Dedurei tudo que teremos na nova versão do site Guru do Cartola 2018!!! Lá no vídeo explico sobre cada página nova.     -> É super importante você assistir, porque são páginas que você nunca viu antes em lugar nenhum. Então você vai entender melhor.      -> Você vai saber exatamente o que fazer para usar tudo o que o Guru pode te oferecer e  ganhar as suas ligas .     Corre lá e depois me conta o que achou, [Name,fallback=]!  Quero saber!     https://youtu.be/chbcdYSHF0A     Esse vídeo é exclusivo, então em breve vou ter que tirar do ar. Corre lá!     Grande abraço!                               .    .   Caso não queira receber nossos e-mails, clique em  sair .    "
23	"ENVIAR APENAS PARA LISTA VIP GURU 2018"	2018-04-06	5613	5613	""	879	642	"   Olha essa novidade!  Faltam exatos 10 dias para começar o Cartola.     E a preparação tá como?      Por aqui, na Gurulândia, a preparação tá firme e acelerada pra entrarmos em campo!     Marcamos até  data  para a INAUGURAÇÃO DO NOSSO SITE!!     Vou te falar o que tem no próximo vídeo e você vai entender porque  precisa assistir de qualquer jeito :     -> vou te falar como funciona a valorização na 3a rodada, com certeza é a mais complicada de todas!     -> Dedurei tudo que teremos na nova versão do site Guru do Cartola 2018!!! Lá no vídeo explico sobre cada página nova.     -> É super importante você assistir, porque são páginas que você nunca viu antes em lugar nenhum. Então você vai entender melhor.      -> Você vai saber exatamente o que fazer para usar tudo o que o Guru pode te oferecer e  ganhar as suas ligas .     Corre lá e depois me conta o que achou!  Quero saber!     https://youtu.be/9qbfKdN1Ho4     Esse vídeo é exclusivo, então em breve vou ter que tirar do ar. Corre lá!     Grande abraço!                               .    .   Caso não queira receber nossos e-mails, clique em  sair .    "
