"estado"	"data"	"populacaoTCU2019"	"casosAcumulado"	"obitosAcumulado"
"RO"	2020-02-25	1777225	0	0
"RO"	2020-02-26	1777225	0	0
"RO"	2020-02-27	1777225	0	0
"RO"	2020-02-28	1777225	0	0
"RO"	2020-02-29	1777225	0	0
"RO"	2020-03-01	1777225	0	0
"RO"	2020-03-02	1777225	0	0
"RO"	2020-03-03	1777225	0	0
"RO"	2020-03-04	1777225	0	0
"RO"	2020-03-05	1777225	0	0
"RO"	2020-03-06	1777225	0	0
"RO"	2020-03-07	1777225	0	0
"RO"	2020-03-08	1777225	0	0
"RO"	2020-03-09	1777225	0	0
"RO"	2020-03-10	1777225	0	0
"RO"	2020-03-11	1777225	0	0
"RO"	2020-03-12	1777225	0	0
"RO"	2020-03-13	1777225	0	0
"RO"	2020-03-14	1777225	0	0
"RO"	2020-03-15	1777225	0	0
"RO"	2020-03-16	1777225	0	0
"RO"	2020-03-17	1777225	0	0
"RO"	2020-03-18	1777225	0	0
"RO"	2020-03-19	1777225	0	0
"RO"	2020-03-20	1777225	1	0
"RO"	2020-03-21	1777225	1	0
"RO"	2020-03-22	1777225	3	0
"RO"	2020-03-23	1777225	3	0
"RO"	2020-03-24	1777225	3	0
"RO"	2020-03-25	1777225	5	0
"RO"	2020-03-26	1777225	5	0
"RO"	2020-03-27	1777225	6	0
"RO"	2020-03-28	1777225	6	0
"RO"	2020-03-29	1777225	6	0
"RO"	2020-03-30	1777225	6	0
"RO"	2020-03-31	1777225	8	1
"RO"	2020-04-01	1777225	9	1
"RO"	2020-04-02	1777225	10	1
"RO"	2020-04-03	1777225	10	1
"RO"	2020-04-04	1777225	11	1
"RO"	2020-04-05	1777225	12	1
"RO"	2020-04-06	1777225	14	1
"RO"	2020-04-07	1777225	18	1
"RO"	2020-04-08	1777225	18	1
"RO"	2020-04-09	1777225	28	2
"RO"	2020-04-10	1777225	32	2
"RO"	2020-04-11	1777225	33	2
"RO"	2020-04-12	1777225	35	2
"RO"	2020-04-13	1777225	42	2
"RO"	2020-04-14	1777225	64	2
"RO"	2020-04-15	1777225	69	2
"RO"	2020-04-16	1777225	76	3
"RO"	2020-04-17	1777225	92	3
"RO"	2020-04-18	1777225	110	3
"RO"	2020-04-19	1777225	128	4
"RO"	2020-04-20	1777225	160	4
"RO"	2020-04-21	1777225	199	4
"RO"	2020-04-22	1777225	223	5
"RO"	2020-04-23	1777225	250	5
"RO"	2020-04-24	1777225	290	5
"RO"	2020-04-25	1777225	328	7
"RO"	2020-04-26	1777225	364	10
"RO"	2020-04-27	1777225	393	10
"RO"	2020-04-28	1777225	413	11
"RO"	2020-04-29	1777225	433	15
"RO"	2020-04-30	1777225	502	16
"RO"	2020-05-01	1777225	585	18
"RO"	2020-05-02	1777225	653	23
"RO"	2020-05-03	1777225	705	24
"RO"	2020-05-04	1777225	756	25
"RO"	2020-05-05	1777225	861	29
"RO"	2020-05-06	1777225	943	33
"RO"	2020-05-07	1777225	1098	37
"RO"	2020-05-08	1777225	1222	39
"RO"	2020-05-09	1777225	1263	41
"RO"	2020-05-10	1777225	1302	43
"RO"	2020-05-11	1777225	1396	47
"RO"	2020-05-12	1777225	1460	50
"RO"	2020-05-13	1777225	1612	50
"RO"	2020-05-14	1777225	1686	56
"RO"	2020-05-15	1777225	1789	62
"RO"	2020-05-16	1777225	1919	69
"RO"	2020-05-17	1777225	1963	74
"RO"	2020-05-18	1777225	2043	77
"RO"	2020-05-19	1777225	2257	87
"RO"	2020-05-20	1777225	2499	90
"RO"	2020-05-21	1777225	2659	101
"RO"	2020-05-22	1777225	2774	106
"RO"	2020-05-23	1777225	3109	115
"RO"	2020-05-24	1777225	3201	121
"RO"	2020-05-25	1777225	3268	121
"RO"	2020-05-26	1777225	3493	133
"RO"	2020-05-27	1777225	3862	137
"RO"	2020-05-28	1777225	4252	142
"RO"	2020-05-29	1777225	4502	145
"RO"	2020-05-30	1777225	4743	151
"RO"	2020-05-31	1777225	4942	156
"RO"	2020-06-01	1777225	5172	159
"RO"	2020-06-02	1777225	5477	172
"RO"	2020-06-03	1777225	5713	180
"RO"	2020-06-04	1777225	6459	194
"RO"	2020-06-05	1777225	6862	213
"RO"	2020-06-06	1777225	7700	228
"RO"	2020-06-07	1777225	8110	235
"RO"	2020-06-08	1777225	8626	245
"RO"	2020-06-09	1777225	9220	255
"RO"	2020-06-10	1777225	9850	267
"RO"	2020-06-11	1777225	10547	293
"RO"	2020-06-12	1777225	11224	296
"RO"	2020-06-13	1777225	11710	309
"RO"	2020-06-14	1777225	11865	324
"RO"	2020-06-15	1777225	12180	332
"RO"	2020-06-16	1777225	13010	346
"RO"	2020-06-17	1777225	13567	360
"RO"	2020-06-18	1777225	13804	374
"RO"	2020-06-19	1777225	14353	391
"RO"	2020-06-20	1777225	14952	409
"RO"	2020-06-21	1777225	15181	417
"RO"	2020-06-22	1777225	15827	431
"RO"	2020-06-23	1777225	16498	444
"RO"	2020-06-24	1777225	17424	455
"RO"	2020-06-25	1777225	18173	467
"RO"	2020-06-26	1777225	19271	476
"RO"	2020-06-27	1777225	19271	476
"RO"	2020-06-28	1777225	19820	486
"RO"	2020-06-29	1777225	20406	500
"RO"	2020-06-30	1777225	21251	518
"RO"	2020-07-01	1777225	21462	520
"RO"	2020-07-02	1777225	21970	530
"RO"	2020-07-03	1777225	22241	533
"RO"	2020-07-04	1777225	22957	548
"RO"	2020-07-05	1777225	23479	555
"RO"	2020-07-06	1777225	23921	558
"RO"	2020-07-07	1777225	24564	577
"RO"	2020-07-08	1777225	25067	585
"RO"	2020-07-09	1777225	25402	589
