"x"	"y"
0.75	0.37
0.9	0.56
0.86	0.47
0.93	0.33
0.74	0.52
0.84	0.64
0.92	0.55
0.57	0.46
0.85	0.67
0.87	0.61
0.74	0.7
0.85	0.21
1	0.24
0.95	0.31
0.85	0.53
0.83	0.53
0.76	0.35
0.83	0.24
0.85	0.42
1	0.71
0.61	0.09
0.86	0.37
0.94	0.6
0.81	0.34
0.81	0.57
0.72	0.74
1	0.59
0.87	0.55
0.55	0.94
0.72	0.25
0.87	0.43
0.73	0.3
0.96	0.2
0.98	0.22
0.84	0.36
0.96	0.32
0.93	0.23
0.94	0.21
0.8	0.78
0.97	0.69
0.98	0.64
1	0.66
0.75	0.4
0.91	0.55
0.84	0.54
0.9	0.63
0.88	0.59
0.89	0.64
0.76	0.47
0.69	0.51
0.95	0.28
0.68	0.26
0.88	0.2
0.91	0.3
0.76	0.56
0.87	0.34
0.99	0.56
0.96	0.63
0.85	0.39
0.67	0.12
0.89	0.47
0.77	0.55
0.96	0.59
0.93	0.58
1	0.4
1	0.71
0.97	0.88
