TIME	VALOR	VARIÁVEL	ANO	RANKING	Pontos
América Mineiro	0	LIQUIDEZ IMEDIATA	2014	29	NA
América Mineiro	0.56	LIQUIDEZ IMEDIATA	2015	31	NA
América Mineiro	0.54	LIQUIDEZ IMEDIATA	2017	24	NA
América Mineiro	0.46	LIQUIDEZ SECA	2014	29	NA
América Mineiro	0.43	LIQUIDEZ SECA	2015	31	NA
América Mineiro	0.48	LIQUIDEZ SECA	2017	24	NA
América Mineiro	0.16	LIQUIDEZ GERAL	2014	29	NA
América Mineiro	1.2	LIQUIDEZ GERAL	2015	31	NA
América Mineiro	2.65	LIQUIDEZ GERAL	2017	24	NA
América Mineiro	1.62	END. FINANCEIRO	2014	29	NA
América Mineiro	5.06	END. FINANCEIRO	2015	31	NA
América Mineiro	0.41	END. FINANCEIRO	2017	24	NA
América Mineiro	0.62	DEP. FINANCEIRA	2014	29	NA
América Mineiro	0.83	DEP. FINANCEIRA	2015	31	NA
América Mineiro	0.36	DEP. FINANCEIRA	2017	24	NA
América Mineiro	0.34	COMP. ENDIVIDAMENTO	2014	29	NA
América Mineiro	0.19	COMP. ENDIVIDAMENTO	2015	31	NA
América Mineiro	0.46	COMP. ENDIVIDAMENTO	2017	24	NA
América Mineiro	0.33	ROA	2014	29	NA
América Mineiro	0.2	ROA	2015	31	NA
América Mineiro	0.18	ROA	2017	24	NA
América Mineiro	-0.57	ROE	2015	31	NA
América Mineiro	-0.03	ROE	2017	24	NA
Atlético Goianiense	NA	LIQUIDEZ IMEDIATA	2014	22	NA
Atlético Goianiense	NA	LIQUIDEZ IMEDIATA	2015	28	NA
Atlético Goianiense	0.03	LIQUIDEZ IMEDIATA	2016	26	NA
Atlético Goianiense	0.01	LIQUIDEZ IMEDIATA	2018	25	NA
Atlético Goianiense	NA	LIQUIDEZ SECA	2014	22	NA
Atlético Goianiense	NA	LIQUIDEZ SECA	2015	28	NA
Atlético Goianiense	0.07	LIQUIDEZ SECA	2016	26	NA
Atlético Goianiense	0.27	LIQUIDEZ SECA	2018	25	NA
Atlético Goianiense	NA	LIQUIDEZ GERAL	2014	22	NA
Atlético Goianiense	NA	LIQUIDEZ GERAL	2015	28	NA
