preco	data
76	20/12/2019 15:55:36
76	06/12/2019 22:17:27
76	06/12/2019 00:52:02
76	05/12/2019 23:53:49
76	05/12/2019 23:50:49
76	05/12/2019 23:45:06
76	05/12/2019 23:10:56
76	05/12/2019 23:08:39
76	05/12/2019 23:07:12
76	05/12/2019 23:06:33
76	05/12/2019 23:00:56
76	05/12/2019 22:45:14
76	05/12/2019 22:10:53
76	05/12/2019 22:02:46
76	05/12/2019 21:19:30
76	05/12/2019 20:54:33
76	05/12/2019 19:47:25
76	05/12/2019 19:46:44
76	05/12/2019 19:36:23
76	05/12/2019 19:23:17
76	05/12/2019 18:58:05
76	05/12/2019 18:35:11
76	05/12/2019 18:15:20
76	05/12/2019 17:59:13
76	05/12/2019 17:46:21
76	05/12/2019 17:42:57
76	05/12/2019 17:15:05
76	05/12/2019 17:13:29
76	05/12/2019 17:08:30
76	05/12/2019 16:36:20
76	05/12/2019 16:35:59
76	05/12/2019 16:26:22
76	05/12/2019 16:14:36
76	05/12/2019 16:11:16
76	05/12/2019 16:02:05
76	05/12/2019 15:25:05
76	05/12/2019 14:59:37
76	05/12/2019 14:54:15
76	05/12/2019 14:49:00
76	05/12/2019 14:34:20
76	05/12/2019 13:54:33
76	05/12/2019 13:47:58
76	05/12/2019 13:25:08
76	05/12/2019 13:07:32
76	05/12/2019 12:51:36
76	05/12/2019 12:38:51
76	05/12/2019 12:19:51
76	05/12/2019 12:10:26
76	05/12/2019 12:07:18
76	05/12/2019 12:02:10
76	05/12/2019 12:00:18
76	05/12/2019 11:48:26
76	05/12/2019 11:42:13
76	05/12/2019 11:40:42
76	05/12/2019 11:28:35
76	05/12/2019 11:24:29
76	05/12/2019 11:20:15
76	05/12/2019 11:19:27
76	05/12/2019 11:19:09
76	05/12/2019 11:18:47
76	05/12/2019 11:16:55
76	05/12/2019 11:13:09
76	05/12/2019 11:12:48
76	05/12/2019 11:10:33
76	05/12/2019 11:08:14
76	05/12/2019 11:01:51
76	05/12/2019 11:01:30
76	05/12/2019 10:59:35
76	05/12/2019 10:44:04
76	05/12/2019 10:35:05
76	05/12/2019 10:18:01
76	05/12/2019 09:39:43
76	05/12/2019 09:36:27
76	05/12/2019 08:09:18
76	05/12/2019 07:04:35
76	05/12/2019 07:04:28
76	05/12/2019 06:21:32
76	05/12/2019 01:45:04
76	05/12/2019 00:00:19
76	04/12/2019 22:11:33
76	04/12/2019 21:54:39
76	04/12/2019 21:32:33
76	04/12/2019 21:18:18
76	04/12/2019 20:24:32
76	04/12/2019 20:23:35
76	04/12/2019 20:14:39
76	04/12/2019 19:25:03
76	04/12/2019 19:02:39
76	04/12/2019 18:22:09
76	04/12/2019 17:46:03
76	04/12/2019 17:45:59
76	04/12/2019 17:45:47
76	04/12/2019 17:27:12
76	04/12/2019 17:01:52
76	04/12/2019 16:54:04
76	04/12/2019 16:49:59
76	04/12/2019 16:45:14
76	04/12/2019 16:24:14
76	04/12/2019 16:23:47
76	04/12/2019 16:13:34
76	04/12/2019 16:01:27
76	04/12/2019 15:55:39
76	04/12/2019 15:55:38
76	04/12/2019 15:52:40
76	04/12/2019 15:50:45
76	04/12/2019 15:41:07
76	04/12/2019 15:24:53
76	04/12/2019 15:02:59
76	04/12/2019 14:57:17
76	04/12/2019 14:57:02
76	04/12/2019 14:51:24
76	04/12/2019 14:37:13
76	04/12/2019 14:29:32
76	04/12/2019 14:21:45
76	04/12/2019 14:20:58
76	04/12/2019 14:20:57
76	04/12/2019 14:12:11
76	04/12/2019 14:01:03
76	04/12/2019 13:57:38
76	04/12/2019 13:51:02
76	04/12/2019 13:45:29
76	04/12/2019 13:41:20
76	04/12/2019 13:37:51
