"id"	"Latitude"	"Longitude"	"temp"
83595	-19.49444444	-41.07749999	27.3
83442	-16.83333333	-42.05	26.5
83579	-19.60555555	-46.94944444	22.4
83384	-15.91527777	-46.10666666	25.8
83582	-20.0311111	-46.00888888	23.6
83689	-21.23972221	-43.78138888	21
83587	-19.93416666	-43.95222222	23.4
83533	-19.71916666	-45.36777777	23.9
83383	-15.61666666	-46.41666666	25.2
83589	-19.02055554	-43.43388888	23.5
83681	-21.91666666	-46.38333333	20.9
83639	-20.51666667	-41.9	22
83514	-18.72638889	-49.5625	24.4
83592	-19.73583333	-42.13694444	23.6
83485	-17.53333333	-43	23.3
83686	-21.96666666	-44.93333333	22.5
83613	-19.5	-42.63333333	25.3
83037	-21.56666666	-43.25	24.2
83536	-18.7475	-44.45472222	24.4
83538	-18.23888888	-43.61694443	20.6
83635	-20.17305554	-44.87444443	23.8
83438	-17.1	-43.8	24.2
83338	-14.91222222	-42.80833333	25.4
83657	-21.31666666	-46.36666666	22.9
83581	-19.88527777	-44.41722221	22.8
83334	-14.94944444	-46.23583333	24
83574	-20.03499999	-48.93027777	25.6
83543	-18.85	-41.93333333	26.5
83632	-20.01611111	-44.08444444	23
83488	-17.85972222	-42.85277777	22.1
83521	-18.95277777	-49.52499999	25.4
83395	-15.8025	-43.29694444	25.6
83386	-15.45	-44	25.2
83591	-19.82388888	-43.1436111	23.1
83481	-17.73999999	-46.17666666	24.3
83692	-21.76666666	-43.35	21.3
83452	-16.77499999	-43.66694443	24
83032	-21.94416666	-45.31805554	22.2
83687	-21.75	-45	22.5
83683	-21.68138888	-45.94055555	22.6
83015	-22.31472222	-45.37305554	19.9
83389	-15.08638888	-44.01638888	25.6
83388	-15.16027777	-42.86611111	25.3
83437	-16.68638888	-43.8436111	24.3
83694	-21.13333333	-42.33333333	25.3
83637	-20.68333333	-44.81666666	22.6
83479	-17.24416666	-46.88166666	24.6
83737	-22.38277777	-44.96666666	22
83531	-18.51972221	-46.43944444	22.5
83393	-16.01	-41.2811111	24.3
83483	-17.34916666	-44.92166666	25.4
83570	-19.22916666	-45.00111111	24.3
83061	-19.83333333	-42.63333333	25.3
83441	-16.15475	-42.28516667	24.8
83688	-21.3	-44.26666666	21.8
83736	-22.1	-45.01666667	22.4
83631	-20.91666666	-47.11666666	22.9
83500	-17.78333333	-40.25	25.2
83586	-19.48527777	-44.17416666	23.3
83492	-17.85	-41.51666667	26
83527	-18.91722221	-48.25555555	23.6
83428	-16.36611111	-46.88916666	25.2
83594	-19.48305554	-42.53305554	25.3
83642	-20.7625	-42.86416667	22.7
